EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;5.009;0.000;0.000;0.000;1425.300
0.020;0.000;0.000;5.037;0.000;0.000;0.000;1424.100
0.021;0.000;0.000;5.013;0.000;0.000;0.000;1425.850
0.022;0.000;0.000;5.022;0.000;0.000;0.000;1424.900
0.023;0.000;0.000;4.884;0.000;0.000;0.000;1425.300
0.024;0.000;0.000;4.897;0.000;0.000;0.000;1424.500
0.025;0.000;0.000;4.822;0.000;0.000;0.000;1424.350
0.026;0.000;0.000;4.834;0.000;0.000;0.000;1424.250
0.027;0.000;0.000;4.822;0.000;0.000;0.000;1424.150
0.028;0.000;0.000;4.844;0.000;0.000;0.000;1423.800
0.029;0.000;0.000;4.884;0.000;0.000;0.000;1423.900
0.030;0.000;0.000;4.928;0.000;0.000;0.000;1424.150
0.031;0.000;0.000;4.963;0.000;0.000;0.000;1424.000
0.032;0.000;0.000;5.084;0.000;0.000;0.000;1425.050
0.033;0.000;0.000;5.112;0.000;0.000;0.000;1424.600
0.034;0.000;0.000;5.175;0.000;0.000;0.000;1426.050
0.035;0.000;0.000;5.203;0.000;0.000;0.000;1425.350
0.036;0.000;0.000;5.234;0.000;0.000;0.000;1426.450
0.037;0.000;0.000;5.256;0.000;0.000;0.000;1425.500
0.038;0.000;0.000;5.281;0.000;0.000;0.000;1427.600
0.039;0.000;0.000;5.300;0.000;0.000;0.000;1426.750
0.040;0.000;0.000;5.375;0.000;0.000;0.000;1427.800
0.041;0.000;0.000;5.381;0.000;0.000;0.000;1426.700
0.042;0.000;0.000;5.466;0.000;0.000;0.000;1427.850
0.043;0.000;0.000;5.475;0.000;0.000;0.000;1427.250
0.044;0.000;0.000;5.588;0.000;0.000;0.000;1428.700
0.045;0.000;0.000;5.619;0.000;0.000;0.000;1427.900
0.046;0.000;0.000;5.744;0.000;0.000;0.000;1428.750
0.047;0.000;0.000;5.775;0.000;0.000;0.000;1428.550
0.048;0.000;0.000;5.894;0.000;0.000;0.000;1428.900
0.049;0.000;0.000;5.903;0.000;0.000;0.000;1428.300
0.050;0.000;0.000;5.978;0.000;0.000;0.000;1428.600
0.051;0.000;0.000;5.981;0.000;0.000;0.000;1428.950
0.052;0.000;0.000;5.856;0.000;0.000;0.000;1428.950
0.053;0.000;0.000;5.856;0.000;0.000;0.000;1428.750
0.054;0.000;0.000;5.925;0.000;0.000;0.000;1428.200
0.055;0.000;0.000;5.909;0.000;0.000;0.000;1428.800
0.056;0.000;0.000;5.903;0.000;0.000;0.000;1428.300
0.057;0.000;0.000;5.888;0.000;0.000;0.000;1428.450
