EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;5.075;0.000;0.000;0.000;1427.400
0.020;0.000;0.000;5.019;0.000;0.000;0.000;1428.250
0.021;0.000;0.000;5.059;0.000;0.000;0.000;1427.250
0.022;0.000;0.000;5.188;0.000;0.000;0.000;1427.750
0.023;0.000;0.000;5.116;0.000;0.000;0.000;1427.600
0.024;0.000;0.000;5.147;0.000;0.000;0.000;1426.250
0.025;0.000;0.000;5.119;0.000;0.000;0.000;1427.500
0.026;0.000;0.000;5.150;0.000;0.000;0.000;1426.850
0.027;0.000;0.000;5.116;0.000;0.000;0.000;1427.200
0.028;0.000;0.000;5.166;0.000;0.000;0.000;1426.700
0.029;0.000;0.000;5.206;0.000;0.000;0.000;1426.550
0.030;0.000;0.000;5.175;0.000;0.000;0.000;1427.450
0.031;0.000;0.000;5.197;0.000;0.000;0.000;1425.950
0.032;0.000;0.000;5.181;0.000;0.000;0.000;1427.500
0.033;0.000;0.000;5.222;0.000;0.000;0.000;1426.450
0.034;0.000;0.000;5.209;0.000;0.000;0.000;1427.300
0.035;0.000;0.000;5.159;0.000;0.000;0.000;1426.900
0.036;0.000;0.000;5.222;0.000;0.000;0.000;1426.000
0.037;0.000;0.000;5.200;0.000;0.000;0.000;1427.450
0.038;0.000;0.000;5.216;0.000;0.000;0.000;1426.100
0.039;0.000;0.000;5.172;0.000;0.000;0.000;1426.800
0.040;0.000;0.000;5.216;0.000;0.000;0.000;1426.650
0.041;0.000;0.000;5.237;0.000;0.000;0.000;1427.150
0.042;0.000;0.000;5.094;0.000;0.000;0.000;1427.400
0.043;0.000;0.000;5.103;0.000;0.000;0.000;1426.500
0.044;0.000;0.000;5.059;0.000;0.000;0.000;1427.550
0.045;0.000;0.000;5.081;0.000;0.000;0.000;1426.800
0.046;0.000;0.000;5.181;0.000;0.000;0.000;1427.500
0.047;0.000;0.000;5.188;0.000;0.000;0.000;1427.400
0.048;0.000;0.000;5.169;0.000;0.000;0.000;1426.500
0.049;0.000;0.000;5.112;0.000;0.000;0.000;1427.500
0.050;0.000;0.000;5.125;0.000;0.000;0.000;1426.100
0.051;0.000;0.000;5.081;0.000;0.000;0.000;1427.500
0.052;0.000;0.000;5.088;0.000;0.000;0.000;1427.000
0.053;0.000;0.000;5.112;0.000;0.000;0.000;1427.250
0.054;0.000;0.000;5.122;0.000;0.000;0.000;1427.550
0.055;0.000;0.000;5.138;0.000;0.000;0.000;1426.650
0.056;0.000;0.000;5.075;0.000;0.000;0.000;1428.100
0.057;0.000;0.000;5.072;0.000;0.000;0.000;1426.800
