EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;5.094;0.000;0.000;0.000;1428.750
0.020;0.000;0.000;5.119;0.000;0.000;0.000;1429.000
0.021;0.000;0.000;5.228;0.000;0.000;0.000;1430.000
0.022;0.000;0.000;5.259;0.000;0.000;0.000;1429.250
0.023;0.000;0.000;5.281;0.000;0.000;0.000;1429.100
0.024;0.000;0.000;5.391;0.000;0.000;0.000;1429.850
0.025;0.000;0.000;5.409;0.000;0.000;0.000;1429.050
0.026;0.000;0.000;5.403;0.000;0.000;0.000;1429.500
0.027;0.000;0.000;5.428;0.000;0.000;0.000;1429.550
0.028;0.000;0.000;5.453;0.000;0.000;0.000;1428.250
0.029;0.000;0.000;5.384;0.000;0.000;0.000;1428.500
0.030;0.000;0.000;5.409;0.000;0.000;0.000;1429.150
0.031;0.000;0.000;5.431;0.000;0.000;0.000;1427.950
0.032;0.000;0.000;5.359;0.000;0.000;0.000;1428.000
0.033;0.000;0.000;5.434;0.000;0.000;0.000;1429.350
0.034;0.000;0.000;5.463;0.000;0.000;0.000;1428.050
0.035;0.000;0.000;5.378;0.000;0.000;0.000;1428.100
0.036;0.000;0.000;5.409;0.000;0.000;0.000;1429.000
0.037;0.000;0.000;5.431;0.000;0.000;0.000;1428.150
0.038;0.000;0.000;5.359;0.000;0.000;0.000;1428.150
0.039;0.000;0.000;5.334;0.000;0.000;0.000;1429.350
0.040;0.000;0.000;5.366;0.000;0.000;0.000;1428.300
0.041;0.000;0.000;5.263;0.000;0.000;0.000;1428.250
0.042;0.000;0.000;5.259;0.000;0.000;0.000;1429.300
0.043;0.000;0.000;5.275;0.000;0.000;0.000;1428.200
0.044;0.000;0.000;5.153;0.000;0.000;0.000;1428.650
0.045;0.000;0.000;5.125;0.000;0.000;0.000;1429.100
0.046;0.000;0.000;5.144;0.000;0.000;0.000;1427.550
0.047;0.000;0.000;5.084;0.000;0.000;0.000;1428.300
0.048;0.000;0.000;5.034;0.000;0.000;0.000;1429.000
0.049;0.000;0.000;5.056;0.000;0.000;0.000;1427.700
0.050;0.000;0.000;5.025;0.000;0.000;0.000;1427.250
0.051;0.000;0.000;4.984;0.000;0.000;0.000;1428.250
0.052;0.000;0.000;4.981;0.000;0.000;0.000;1426.950
0.053;0.000;0.000;4.881;0.000;0.000;0.000;1426.050
0.054;0.000;0.000;4.819;0.000;0.000;0.000;1427.150
0.055;0.000;0.000;4.850;0.000;0.000;0.000;1425.500
0.056;0.000;0.000;4.816;0.000;0.000;0.000;1425.000
0.057;0.000;0.000;4.794;0.000;0.000;0.000;1426.100
