time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;24;37;363;0
1;12;35;363;0
2;21;34;362;0
3;13;36;361;0
4;20;36;374;0
5;14;37;361;0
6;22;29;360;0
7;15;41;362;0
8;22;36;363;0
9;0;37;365;0
10;21;37;365;0
11;20;36;362;0
12;14;38;363;0
13;22;36;362;0
14;12;35;363;0
15;21;36;372;0
16;14;37;362;0
17;21;24;361;0
18;15;19;362;0
19;15;31;363;0
20;0;35;361;0
21;18;37;363;0
22;28;36;362;0
23;13;37;370;0
24;22;35;364;0
25;14;36;362;0
26;21;36;360;0
27;15;37;362;0
28;21;32;364;0
29;14;52;364;0
30;20;37;364;0
31;5;32;362;0
32;3;38;358;0
33;22;35;363;0
34;9;37;362;0
35;23;36;364;0
36;13;37;364;0
37;21;37;366;0
38;15;38;362;0
39;21;33;363;0
40;15;38;364;0
41;22;38;362;0
42;0;37;362;0
43;19;36;362;0
44;19;35;361;0
45;11;43;365;0
46;20;35;363;0
47;15;38;365;0
48;21;36;362;0
49;16;38;364;0
50;21;39;363;0
51;16;40;363;0
52;23;37;362;0
53;4;32;362;0
54;22;37;363;0
55;21;35;362;0
56;13;38;365;0
57;22;36;362;0
58;16;34;357;0
59;21;36;367;0
60;16;38;363;0
61;22;23;365;0
62;15;23;362;0
63;22;37;362;0
64;28;32;362;0
65;22;37;362;0
66;20;35;362;0
67;16;38;364;0
68;22;36;364;0
69;12;38;359;0
70;21;37;367;0
71;12;32;357;0
72;21;19;363;0
73;16;26;362;0
74;21;37;363;0
75;24;38;362;0
76;22;36;362;0
77;18;35;364;0
78;14;37;363;0
79;22;36;362;0
80;12;36;362;0
81;21;36;384;0
82;15;37;364;0
83;22;11;362;0
84;19;24;362;0
85;22;37;362;0
86;36;32;361;0
87;21;37;365;0
88;25;36;362;0
89;14;37;362;0
90;22;37;363;0
91;15;37;362;0
92;22;37;359;0
93;15;38;364;0
94;21;21;363;0
95;15;35;362;0
