time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4
0;15;32;364;0
1;10;34;362;0
2;15;33;363;0
3;13;33;356;0
4;13;33;361;0
5;11;41;363;0
6;10;34;361;0
7;10;34;362;0
8;12;34;357;0
9;16;31;362;0
10;10;34;362;0
11;16;34;363;0
12;14;38;362;0
13;12;33;363;0
14;11;51;363;0
15;10;34;367;0
16;19;32;364;0
17;11;33;370;0
18;8;33;361;0
19;10;33;361;0
20;13;34;361;0
21;12;14;359;0
22;16;32;363;0
23;10;21;362;0
24;5;34;345;0
25;14;32;363;0
26;13;33;354;0
27;4;29;363;0
28;9;33;360;0
29;10;34;364;0
30;13;46;360;0
31;13;33;363;0
32;10;33;364;0
33;9;33;361;0
34;13;33;365;0
35;13;33;362;0
36;13;37;361;0
37;9;34;366;0
38;14;33;364;0
39;13;34;358;0
40;13;33;362;0
41;10;33;364;0
42;6;35;361;0
43;13;30;364;0
44;13;33;363;0
45;11;56;363;0
46;9;34;371;0
47;14;32;364;0
48;13;32;379;0
49;23;31;362;0
50;10;33;362;0
51;18;33;362;0
52;13;32;361;0
53;14;33;362;0
54;10;33;365;0
55;11;34;364;0
56;13;35;363;0
57;13;33;362;0
58;0;35;358;0
59;10;33;365;0
60;13;34;363;0
61;13;34;358;0
62;12;33;362;0
63;9;32;361;0
64;18;34;365;0
65;13;28;361;0
66;14;32;363;0
67;10;42;365;0
68;10;34;367;0
69;13;35;363;0
70;12;33;373;0
71;17;31;364;0
72;10;33;359;0
73;20;34;362;0
74;12;36;366;0
75;11;32;364;0
76;10;36;362;0
77;10;34;365;0
78;12;34;365;0
79;11;32;352;0
80;6;30;364;0
81;10;34;362;0
82;0;32;361;0
83;13;21;360;0
84;16;33;365;0
85;10;29;363;0
86;13;33;357;0
87;12;35;357;0
88;12;33;362;0
89;28;29;362;0
90;9;34;362;0
91;13;34;362;0
92;13;34;362;0
93;14;32;362;0
94;10;32;362;0
95;8;34;364;0
96;13;31;366;0
97;11;32;362;0
98;10;38;365;0
99;7;33;361;0
100;13;30;364;0
101;13;32;371;0
102;8;32;364;0
103;10;34;361;0
104;40;34;363;0
105;13;31;362;0
106;14;32;362;0
107;10;54;362;0
108;7;33;359;0
109;13;34;362;0
110;12;33;368;0
111;12;31;362;0
112;10;34;364;0
