time;SPEED;SPEED_filter
12.63;-15.00000000000031;-18.000000000000078
12.64;-15.00000000000031;-17.500000000000064
12.65;-15.000000000000355;-17.000000000000053
12.66;-12.500000000000266;-16.250000000000036
12.67;-12.500000000000266;-15.500000000000023
12.68;-10.000000000000222;-14.750000000000005
12.69;-12.499999999998046;-14.249999999999773
12.700000000000001;-10.000000000000178;-13.499999999999755
12.71;-10.000000000000222;-12.750000000000048
12.72;-10.000000000000222;-12.250000000000039
12.73;-7.500000000000155;-11.500000000000025
12.74;-10.000000000000222;-11.000000000000014
12.75;-7.500000000000155;-10.249999999999995
12.76;-7.500000000000155;-9.749999999999984
12.77;-9.999999999998446;-9.499999999999803
12.780000000000001;-7.500000000000155;-9.249999999999796
12.790000000000001;-5.000000000000111;-8.500000000000004
12.8;-7.500000000000155;-8.25
12.81;-5.000000000000111;-7.7499999999999885
12.82;-7.500000000000155;-7.499999999999981
12.83;-5.000000000000111;-7.249999999999977
12.84;-7.500000000000155;-6.999999999999972
12.85;-2.5000000000000555;-6.499999999999962
12.86;-4.999999999999223;-6.249999999999868
12.870000000000001;-5.0000000000001;-5.750000000000034
12.88;-5.000000000000111;-5.500000000000028
12.89;-5.000000000000111;-5.500000000000028
12.9;-2.5000000000000444;-5.000000000000018
12.91;-5.000000000000111;-5.000000000000018
12.92;-2.5000000000000555;-4.500000000000008
12.93;-2.5000000000000555;-4.250000000000003
12.94;-4.999999999999212;-3.9999999999999085
12.950000000000001;-2.5000000000000555;-3.9999999999999085
12.96;-2.5000000000000555;-3.7499999999999907
12.97;-2.5000000000000555;-3.4999999999999867
12.98;-2.50000000000005;-3.249999999999981
12.99;-2.5000000000000555;-2.999999999999975
13.0;-2.50000000000005;-2.9999999999999756
13.01;-2.5000000000000555;-2.7499999999999702
13.02;-2.4999999999996114;-2.7499999999999254
13.030000000000001;0.0;-2.4999999999999205
13.040000000000001;-2.50000000000005;-2.2500000000000044
13.05;-2.5000000000000555;-2.250000000000004
13.06;-2.50000000000005;-2.250000000000003
13.07;0.0;-1.9999999999999978
13.08;-2.5000000000000555;-1.9999999999999987
13.09;0.0;-1.749999999999993
13.1;-2.5000000000000555;-1.7499999999999936
13.11;0.0;-1.4999999999999878
13.120000000000001;-2.500000000000053;-1.500000000000032
13.13;0.0;-1.500000000000032
13.14;-2.500000000000053;-1.5000000000000324
13.15;0.0;-1.2500000000000266
13.16;0.0;-1.0000000000000218
13.17;-2.500000000000053;-1.250000000000027
13.18;0.0;-1.0000000000000213
13.19;0.0;-1.0000000000000213
13.200000000000001;-2.500000000000053;-1.000000000000021
