time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1388;97;286;7;0;3835;0;0;0;0;0;0;0;0;2699;0
1;1406;92;312;0;0;3835;0;0;0;0;0;0;0;0;2699;0
2;1402;95;281;0;0;3835;0;0;0;0;0;0;0;0;2699;0
3;1387;105;278;0;0;3835;0;0;0;0;0;0;0;0;2699;0
4;1416;92;264;0;0;3835;0;0;0;0;0;0;0;0;2699;0
5;1389;97;280;2;0;3835;0;0;0;0;0;0;0;0;2699;0
6;1409;83;294;0;0;3835;0;0;0;0;0;0;0;0;2699;0
7;1395;91;327;0;0;3835;0;0;0;0;0;0;0;0;2699;0
8;1401;98;338;0;0;3835;0;0;0;0;0;0;0;0;2699;0
9;1418;89;318;0;0;3835;0;0;0;0;0;0;0;0;2699;0
10;1387;98;346;2;0;3835;0;0;0;0;0;0;0;0;2699;0
11;1410;83;283;0;0;3835;0;0;0;0;0;0;0;0;2699;0
12;1396;97;294;0;0;3835;0;0;0;0;0;0;0;0;2699;0
13;1407;96;365;0;0;3835;0;0;0;0;0;0;0;0;2699;0
14;1420;91;333;0;0;3835;0;0;0;0;0;0;0;0;2699;0
15;1390;92;338;12;0;3835;0;0;0;0;0;0;0;0;2699;0
16;1404;86;292;0;0;3835;0;0;0;0;0;0;0;0;2699;0
17;1397;93;305;0;0;3835;0;0;0;0;0;0;0;0;2699;0
18;1417;120;362;0;0;3835;0;0;0;0;0;0;0;0;2699;0
19;1405;86;352;0;0;3835;0;0;0;0;0;0;0;0;2699;0
20;1391;93;309;0;0;3835;0;0;0;0;0;0;0;0;2699;0
21;1416;91;288;0;0;3835;0;0;0;0;0;0;0;0;2699;0
22;1388;92;298;3;0;3835;0;0;0;0;0;0;0;0;2699;0
23;1410;80;349;0;0;3835;0;0;0;0;0;0;0;0;2699;0
24;1389;92;305;0;0;3835;0;0;0;0;0;0;0;0;2699;0
25;1418;129;315;0;0;3835;0;0;0;0;0;0;0;0;2699;0
26;1402;88;298;0;0;3835;0;0;0;0;0;0;0;0;2699;0
27;1389;86;353;0;0;3835;0;0;0;0;0;0;0;0;2699;0
28;1416;89;326;0;0;3835;0;0;0;0;0;0;0;0;2699;0
29;1387;92;303;0;0;3835;0;0;0;0;0;0;0;0;2699;0
30;1403;81;301;0;0;3835;0;0;0;0;0;0;0;0;2699;0
31;1391;90;316;0;0;3835;0;0;0;0;0;0;0;0;2699;0
32;1410;129;312;0;0;3835;0;0;0;0;0;0;0;0;2699;0
33;1412;84;332;0;0;3835;0;0;0;0;0;0;0;0;2699;0
34;1382;89;362;2;0;3835;0;0;0;0;0;0;0;0;2699;0
35;1412;82;299;0;0;3835;0;0;0;0;0;0;0;0;2699;0
36;1398;87;299;0;0;3835;0;0;0;0;0;0;0;0;2699;0
37;1412;128;327;0;0;3835;0;0;0;0;0;0;0;0;2699;0
38;1414;87;297;0;0;3835;0;0;0;0;0;0;0;0;2699;0
39;1378;85;346;0;0;3835;0;0;0;0;0;0;0;0;2699;0
40;1424;82;296;0;0;3835;0;0;0;0;0;0;0;0;2699;0
41;1394;94;304;0;0;3835;0;0;0;0;0;0;0;0;2699;0
42;1415;100;308;0;0;3835;0;0;0;0;0;0;0;0;2699;0
43;1406;87;337;0;0;3835;0;0;0;0;0;0;0;0;2699;0
44;1390;89;346;0;0;3835;0;0;0;0;0;0;0;0;2699;0
45;1421;82;333;0;0;3835;0;0;0;0;0;0;0;0;2699;0
46;1399;92;294;8;0;3835;0;0;0;0;0;0;0;0;2699;0
47;1411;80;293;0;0;3835;0;0;0;0;0;0;0;0;2699;0
48;1392;92;299;0;0;3835;0;0;0;0;0;0;0;0;2699;0
49;1408;92;356;0;0;3835;0;0;0;0;0;0;0;0;2699;0
50;1413;87;341;0;0;3835;0;0;0;0;0;0;0;0;2699;0
51;1393;95;311;8;0;3835;0;0;0;0;0;0;0;0;2699;0
52;1415;85;309;0;0;3835;0;0;0;0;0;0;0;0;2699;0
53;1394;89;331;0;0;3835;0;0;0;0;0;0;0;0;2699;0
54;1402;99;297;0;0;3836;-16;0;0;0;0;0;0;0;2699;0
55;1421;85;300;0;0;3835;16;0;0;0;0;0;0;0;2699;0
56;1387;94;299;0;0;3835;0;0;0;0;0;0;0;0;2699;0
57;1402;81;335;0;0;3835;0;0;0;0;0;0;0;0;2699;0
58;1402;88;283;0;0;3835;0;0;0;0;0;0;0;0;2699;0
59;1400;98;299;0;0;3835;0;0;0;0;0;0;0;0;2699;0
60;1415;84;335;0;0;3835;0;0;0;0;0;0;0;0;2699;0
61;1390;97;302;0;0;3835;0;0;0;0;0;0;0;0;2699;0
62;1409;81;337;0;0;3835;0;0;0;0;0;0;0;0;2699;0
63;1392;91;341;0;0;3835;0;0;0;0;0;0;0;0;2699;0
64;1395;90;328;0;0;3835;0;0;0;0;0;0;0;0;2699;0
65;1424;85;334;0;0;3835;0;0;0;0;0;0;0;0;2699;0
66;1387;92;344;4;0;3835;0;0;0;0;0;0;0;0;2699;0
67;1411;78;298;0;0;3835;0;0;0;0;0;0;0;0;2699;0
68;1408;82;301;2;0;3835;0;0;0;0;0;0;0;0;2699;0
69;1393;89;310;0;0;3835;0;0;0;0;0;0;0;0;2699;0
70;1415;81;329;0;0;3835;0;0;0;0;0;0;0;0;2699;0
71;1387;91;357;3;0;3835;0;0;0;0;0;0;0;0;2699;0
72;1413;82;328;0;0;3835;0;0;0;0;0;0;0;0;2699;0
73;1398;86;351;0;0;3835;0;0;0;0;0;0;0;0;2699;0
