time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1410;112;262;0;0;2859;0;0;0;0;0;0;0;0;2699;0
1;1425;67;230;0;0;2859;0;0;0;0;0;0;0;0;2699;0
2;1389;72;266;0;0;2859;0;0;0;0;0;0;0;0;2699;0
3;1413;79;258;0;0;2859;0;0;0;0;0;0;0;0;2699;0
4;1425;60;284;0;0;2859;0;0;0;0;0;0;0;0;2699;0
5;1396;69;300;0;0;2859;0;0;0;0;0;0;0;0;2699;0
6;1391;68;251;0;0;2859;0;0;0;0;0;0;0;0;2699;0
7;1412;56;283;0;0;2859;0;0;0;0;0;0;0;0;2699;0
8;1411;70;270;0;0;2859;0;0;0;0;0;0;0;0;2699;0
9;1392;78;273;0;0;2859;0;0;0;0;0;0;0;0;2699;0
10;1412;56;293;0;0;2859;0;0;0;0;0;0;0;0;2699;0
11;1411;60;257;0;0;2859;0;0;0;0;0;0;0;0;2699;0
12;1386;70;302;0;0;2859;0;0;0;0;0;0;0;0;2699;0
13;1419;62;328;0;0;2859;0;0;0;0;0;0;0;0;2699;0
14;1408;68;270;0;0;2859;0;0;0;0;0;0;0;0;2699;0
15;1392;69;320;0;0;2859;0;0;0;0;0;0;0;0;2699;0
16;1415;74;274;0;0;2859;0;0;0;0;0;0;0;0;2699;0
17;1420;68;245;0;0;2859;0;0;0;0;0;0;0;0;2699;0
18;1392;70;254;0;0;2859;0;0;0;0;0;0;0;0;2699;0
19;1428;70;256;0;0;2859;0;0;0;0;0;0;0;0;2699;0
20;1416;67;254;0;0;2859;0;0;0;0;0;0;0;0;2699;0
21;1403;72;320;0;0;2859;0;0;0;0;0;0;0;0;2699;0
22;1425;84;315;0;0;2859;0;0;0;0;0;0;0;0;2699;0
23;1424;67;230;0;0;2859;0;0;0;0;0;0;0;0;2699;0
24;1394;71;301;0;0;2859;0;0;0;0;0;0;0;0;2699;0
25;1424;87;329;0;0;2859;0;0;0;0;0;0;0;0;2699;0
26;1417;64;266;0;0;2859;0;0;0;0;0;0;0;0;2699;0
27;1391;74;260;0;0;2859;0;0;0;0;0;0;0;0;2699;0
28;1410;106;324;0;0;2859;0;0;0;0;0;0;0;0;2699;0
29;1415;61;282;0;0;2859;0;0;0;0;0;0;0;0;2699;0
30;1399;65;294;0;0;2859;0;0;0;0;0;0;0;0;2699;0
31;1403;73;323;0;0;2859;0;0;0;0;0;0;0;0;2699;0
32;1422;61;313;0;0;2859;0;0;0;0;0;0;0;0;2699;0
33;1397;75;257;0;0;2859;0;0;0;0;0;0;0;0;2699;0
34;1400;77;293;0;0;2859;0;0;0;0;0;0;0;0;2699;0
35;1421;65;226;0;0;2859;0;0;0;0;0;0;0;0;2699;0
36;1400;71;267;0;0;2859;0;0;0;0;0;0;0;0;2699;0
37;1396;74;257;0;0;2859;0;0;0;0;0;0;0;0;2699;0
38;1416;56;288;0;0;2859;0;0;0;0;0;0;0;0;2699;0
39;1402;68;253;0;0;2859;0;0;0;0;0;0;0;0;2699;0
40;1387;75;298;0;0;2859;0;0;0;0;0;0;0;0;2699;0
41;1414;56;314;0;0;2859;0;0;0;0;0;0;0;0;2699;0
42;1415;63;308;0;0;2859;0;0;0;0;0;0;0;0;2699;0
43;1379;74;276;0;0;2859;0;0;0;0;0;0;0;0;2699;0
44;1417;66;305;0;0;2859;0;0;0;0;0;0;0;0;2699;0
45;1414;65;296;0;0;2859;0;0;0;0;0;0;0;0;2699;0
46;1396;72;256;0;0;2859;0;0;0;0;0;0;0;0;2699;0
47;1420;90;289;0;0;2859;0;0;0;0;0;0;0;0;2699;0
48;1414;66;294;0;0;2859;0;0;0;0;0;0;0;0;2699;0
