time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1406;88;351;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
1;1386;93;282;0;0;2804;0;0;0;0;0;0;0;0;2699;0
2;1415;81;318;0;0;2804;0;0;0;0;0;0;0;0;2699;0
3;1399;94;305;0;0;2804;0;0;0;0;0;0;0;0;2699;0
4;1396;98;284;0;0;2804;0;0;0;0;0;0;0;0;2699;0
5;1425;91;264;0;0;2804;0;0;0;0;0;0;0;0;2699;0
6;1391;90;284;0;0;2804;0;0;0;0;0;0;0;0;2699;0
7;1419;134;349;0;0;2803;16;0;0;0;0;0;0;0;2699;0
8;1416;90;322;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
9;1388;97;344;0;0;2804;0;0;0;0;0;0;0;0;2699;0
10;1416;82;324;0;0;2804;0;0;0;0;0;0;0;0;2699;0
11;1399;95;309;0;0;2804;0;0;0;0;0;0;0;0;2699;0
12;1385;96;298;0;0;2803;16;0;0;0;0;0;0;0;2699;0
13;1422;89;282;0;0;2803;0;0;0;0;0;0;0;0;2699;0
14;1394;97;336;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
15;1417;122;320;0;0;2804;0;0;0;0;0;0;0;0;2699;0
16;1421;90;293;0;0;2804;0;0;0;0;0;0;0;0;2699;0
17;1387;91;298;4;0;2804;0;0;0;0;0;0;0;0;2699;0
18;1420;89;311;0;0;2803;16;0;0;0;0;0;0;0;2699;0
19;1405;89;274;0;0;2803;0;0;0;0;0;0;0;0;2699;0
20;1393;90;351;4;0;2803;0;0;0;0;0;0;0;0;2699;0
21;1411;76;335;0;0;2803;0;0;0;0;0;0;0;0;2699;0
22;1405;86;338;0;0;2803;0;0;0;0;0;0;0;0;2699;0
23;1384;81;293;0;0;2803;0;0;0;0;0;0;0;0;2699;0
24;1416;84;272;0;0;2803;0;0;0;0;0;0;0;0;2699;0
25;1400;90;346;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
26;1405;102;305;0;0;2804;0;0;0;0;0;0;0;0;2699;0
27;1425;83;326;0;0;2804;0;0;0;0;0;0;0;0;2699;0
28;1391;94;326;0;0;2804;0;0;0;0;0;0;0;0;2699;0
29;1424;110;370;0;0;2804;0;0;0;0;0;0;0;0;2699;0
30;1414;80;339;0;0;2803;16;0;0;0;0;0;0;0;2699;0
31;1387;91;353;4;0;2803;0;0;0;0;0;0;0;0;2699;0
32;1414;80;280;0;0;2803;0;0;0;0;0;0;0;0;2699;0
33;1401;94;297;0;0;2803;0;0;0;0;0;0;0;0;2699;0
34;1388;88;354;0;0;2803;0;0;0;0;0;0;0;0;2699;0
35;1424;86;276;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
36;1389;92;288;0;0;2804;0;0;0;0;0;0;0;0;2699;0
37;1417;116;345;0;0;2804;0;0;0;0;0;0;0;0;2699;0
38;1418;86;288;0;0;2804;0;0;0;0;0;0;0;0;2699;0
39;1391;96;305;8;0;2804;0;0;0;0;0;0;0;0;2699;0
40;1413;81;273;0;0;2804;0;0;0;0;0;0;0;0;2699;0
41;1401;92;352;0;0;2804;0;0;0;0;0;0;0;0;2699;0
42;1409;100;317;0;0;2804;0;0;0;0;0;0;0;0;2699;0
43;1417;85;324;0;0;2804;0;0;0;0;0;0;0;0;2699;0
44;1392;94;297;5;0;2804;0;0;0;0;0;0;0;0;2699;0
45;1414;77;344;0;0;2803;16;0;0;0;0;0;0;0;2699;0
46;1397;93;309;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
47;1391;88;323;0;0;2804;0;0;0;0;0;0;0;0;2699;0
48;1421;80;279;0;0;2804;0;0;0;0;0;0;0;0;2699;0
49;1398;90;314;0;0;2804;0;0;0;0;0;0;0;0;2699;0
50;1420;117;361;0;0;2803;16;0;0;0;0;0;0;0;2699;0
51;1413;84;286;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
52;1395;86;356;0;0;2804;0;0;0;0;0;0;0;0;2699;0
53;1412;77;341;0;0;2804;0;0;0;0;0;0;0;0;2699;0
54;1409;82;359;0;0;2804;0;0;0;0;0;0;0;0;2699;0
55;1392;84;308;0;0;2803;16;0;0;0;0;0;0;0;2699;0
56;1419;82;276;0;0;2803;0;0;0;0;0;0;0;0;2699;0
57;1397;92;344;0;0;2803;0;0;0;0;0;0;0;0;2699;0
58;1406;88;347;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
59;1424;83;318;0;0;2804;0;0;0;0;0;0;0;0;2699;0
60;1394;89;308;4;0;2804;0;0;0;0;0;0;0;0;2699;0
61;1424;96;365;0;0;2804;0;0;0;0;0;0;0;0;2699;0
62;1414;83;335;0;0;2804;0;0;0;0;0;0;0;0;2699;0
63;1386;96;292;0;0;2803;16;0;0;0;0;0;0;0;2699;0
64;1418;84;299;0;0;2803;0;0;0;0;0;0;0;0;2699;0
65;1412;88;349;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
66;1386;99;302;0;0;2804;0;0;0;0;0;0;0;0;2699;0
67;1409;78;277;0;0;2804;0;0;0;0;0;0;0;0;2699;0
68;1401;91;351;0;0;2803;16;0;0;0;0;0;0;0;2699;0
69;1382;91;296;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
70;1419;85;280;0;0;2804;0;0;0;0;0;0;0;0;2699;0
71;1393;87;336;0;0;2804;0;0;0;0;0;0;0;0;2699;0
72;1403;97;337;0;0;2804;0;0;0;0;0;0;0;0;2699;0
73;1416;87;306;0;0;2804;0;0;0;0;0;0;0;0;2699;0
74;1399;92;296;0;0;2804;0;0;0;0;0;0;0;0;2699;0
75;1411;130;313;0;0;2804;0;0;0;0;0;0;0;0;2699;0
76;1421;87;289;0;0;2804;0;0;0;0;0;0;0;0;2699;0
77;1394;92;335;0;0;2803;16;0;0;0;0;0;0;0;2699;0
78;1418;124;303;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
79;1417;85;324;0;0;2804;0;0;0;0;0;0;0;0;2699;0
80;1392;92;300;2;0;2804;0;0;0;0;0;0;0;0;2699;0
81;1414;86;351;0;0;2804;0;0;0;0;0;0;0;0;2699;0
82;1407;88;290;0;0;2804;0;0;0;0;0;0;0;0;2699;0
83;1388;97;296;6;0;2804;0;0;0;0;0;0;0;0;2699;0
84;1409;84;302;0;0;2804;0;0;0;0;0;0;0;0;2699;0
85;1397;97;340;0;0;2804;0;0;0;0;0;0;0;0;2699;0
86;1393;101;314;0;0;2804;0;0;0;0;0;0;0;0;2699;0
87;1424;89;338;0;0;2804;0;0;0;0;0;0;0;0;2699;0
88;1398;97;301;0;0;2804;0;0;0;0;0;0;0;0;2699;0
89;1419;112;351;0;0;2804;0;0;0;0;0;0;0;0;2699;0
90;1421;88;324;0;0;2803;16;0;0;0;0;0;0;0;2699;0
91;1388;95;346;0;0;2803;0;0;0;0;0;0;0;0;2699;0
92;1417;79;347;0;0;2804;-16;0;0;0;0;0;0;0;2699;0
93;1403;88;338;0;0;2804;0;0;0;0;0;0;0;0;2699;0
94;1385;90;336;0;0;2804;0;0;0;0;0;0;0;0;2699;0
95;1417;82;288;0;0;2804;0;0;0;0;0;0;0;0;2699;0
96;1395;99;301;0;0;2804;0;0;0;0;0;0;0;0;2699;0
97;1406;96;340;0;0;2804;0;0;0;0;0;0;0;0;2699;0
98;1417;88;295;0;0;2804;0;0;0;0;0;0;0;0;2699;0
99;1396;93;321;0;0;2804;0;0;0;0;0;0;0;0;2699;0
100;1420;125;308;0;0;2803;16;0;0;0;0;0;0;0;2699;0
101;1415;88;281;0;0;2803;0;0;0;0;0;0;0;0;2699;0
102;1389;88;315;10;0;2804;-16;0;0;0;0;0;0;0;2699;0
103;1412;82;292;0;0;2804;0;0;0;0;0;0;0;0;2699;0
104;1403;89;286;0;0;2804;0;0;0;0;0;0;0;0;2699;0
105;1388;96;289;4;0;2804;0;0;0;0;0;0;0;0;2699;0
106;1414;81;328;0;0;2803;16;0;0;0;0;0;0;0;2699;0
