time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
0;1420;84;333;0;0;3166;0;0;0;0;0;0;0;0;2699;0
1;1429;80;304;0;0;3166;0;0;0;0;0;0;0;0;2699;0
2;1409;94;287;13;0;3166;0;0;0;0;0;0;0;0;2699;0
3;1421;88;334;0;0;3166;0;0;0;0;0;0;0;0;2699;0
4;1434;75;324;0;0;3166;0;0;0;0;0;0;0;0;2699;0
5;1410;90;295;11;0;3166;0;0;0;0;0;0;0;0;2699;0
6;1423;86;262;4;0;3166;0;0;0;0;0;0;0;0;2699;0
7;1434;79;286;0;0;3166;0;0;0;0;0;0;0;0;2699;0
8;1410;93;272;10;0;3166;0;0;0;0;0;0;0;0;2699;0
9;1426;83;312;1;0;3166;0;0;0;0;0;0;0;0;2699;0
10;1441;83;276;0;0;3166;0;0;0;0;0;0;0;0;2699;0
11;1417;92;268;8;0;3166;0;0;0;0;0;0;0;0;2699;0
12;1437;87;327;0;0;3166;0;0;0;0;0;0;0;0;2699;0
13;1421;128;293;0;0;3166;0;0;0;0;0;0;0;0;2699;0
14;1413;94;318;0;0;3166;0;0;0;0;0;0;0;0;2699;0
15;1440;86;260;0;0;3166;0;0;0;0;0;0;0;0;2699;0
16;1413;101;276;0;0;3166;0;0;0;0;0;0;0;0;2699;0
17;1420;88;304;0;0;3166;0;0;0;0;0;0;0;0;2699;0
18;1435;86;266;0;0;3166;0;0;0;0;0;0;0;0;2699;0
19;1411;87;333;4;0;3166;0;0;0;0;0;0;0;0;2699;0
20;1427;89;307;0;0;3166;0;0;0;0;0;0;0;0;2699;0
21;1421;80;278;0;0;3166;0;0;0;0;0;0;0;0;2699;0
22;1412;93;278;8;0;3166;0;0;0;0;0;0;0;0;2699;0
23;1431;84;311;0;0;3166;0;0;0;0;0;0;0;0;2699;0
24;1436;79;332;0;0;3166;0;0;0;0;0;0;0;0;2699;0
25;1406;93;264;14;0;3166;0;0;0;0;0;0;0;0;2699;0
26;1436;86;269;1;0;3166;0;0;0;0;0;0;0;0;2699;0
27;1433;86;323;0;0;3166;0;0;0;0;0;0;0;0;2699;0
28;1407;91;325;8;0;3166;0;0;0;0;0;0;0;0;2699;0
29;1436;82;292;0;0;3166;0;0;0;0;0;0;0;0;2699;0
30;1436;114;336;0;0;3166;0;0;0;0;0;0;0;0;2699;0
31;1417;85;306;0;0;3166;0;0;0;0;0;0;0;0;2699;0
32;1438;82;308;0;0;3166;0;0;0;0;0;0;0;0;2699;0
33;1418;98;266;0;0;3166;0;0;0;0;0;0;0;0;2699;0
34;1417;90;283;0;0;3166;0;0;0;0;0;0;0;0;2699;0
35;1430;81;260;0;0;3166;0;0;0;0;0;0;0;0;2699;0
36;1402;92;320;0;0;3166;0;0;0;0;0;0;0;0;2699;0
37;1428;91;285;0;0;3166;0;0;0;0;0;0;0;0;2699;0
38;1435;80;257;0;0;3166;0;0;0;0;0;0;0;0;2699;0
39;1405;87;330;14;0;3166;0;0;0;0;0;0;0;0;2699;0
40;1424;84;302;10;0;3166;0;0;0;0;0;0;0;0;2699;0
41;1440;85;315;0;0;3166;0;0;0;0;0;0;0;0;2699;0
42;1416;93;288;13;0;3166;0;0;0;0;0;0;0;0;2699;0
43;1437;83;309;0;0;3166;0;0;0;0;0;0;0;0;2699;0
44;1424;128;288;0;0;3166;0;0;0;0;0;0;0;0;2699;0
45;1418;91;334;0;0;3166;0;0;0;0;0;0;0;0;2699;0
46;1436;85;302;0;0;3166;0;0;0;0;0;0;0;0;2699;0
47;1411;95;317;0;0;3166;0;0;0;0;0;0;0;0;2699;0
48;1419;89;261;0;0;3166;0;0;0;0;0;0;0;0;2699;0
49;1432;78;269;0;0;3166;0;0;0;0;0;0;0;0;2699;0
50;1408;93;264;4;0;3166;0;0;0;0;0;0;0;0;2699;0
51;1425;85;263;0;0;3166;0;0;0;0;0;0;0;0;2699;0
52;1428;74;285;0;0;3166;0;0;0;0;0;0;0;0;2699;0
53;1409;86;272;10;0;3166;0;0;0;0;0;0;0;0;2699;0
54;1438;84;262;0;0;3166;0;0;0;0;0;0;0;0;2699;0
55;1433;128;344;0;0;3166;0;0;0;0;0;0;0;0;2699;0
56;1420;96;268;0;0;3166;0;0;0;0;0;0;0;0;2699;0
57;1432;84;312;0;0;3166;0;0;0;0;0;0;0;0;2699;0
58;1403;99;282;2;0;3166;0;0;0;0;0;0;0;0;2699;0
59;1418;89;264;0;0;3166;0;0;0;0;0;0;0;0;2699;0
60;1429;83;326;0;0;3166;0;0;0;0;0;0;0;0;2699;0
61;1416;92;320;9;0;3166;0;0;0;0;0;0;0;0;2699;0
62;1428;86;318;0;0;3166;0;0;0;0;0;0;0;0;2699;0
63;1432;80;310;0;0;3166;0;0;0;0;0;0;0;0;2699;0
64;1416;94;326;11;0;3166;0;0;0;0;0;0;0;0;2699;0
65;1423;88;319;0;0;3166;0;0;0;0;0;0;0;0;2699;0
66;1430;79;328;0;0;3166;0;0;0;0;0;0;0;0;2699;0
67;1417;89;320;9;0;3166;0;0;0;0;0;0;0;0;2699;0
68;1437;85;329;0;0;3166;0;0;0;0;0;0;0;0;2699;0
69;1434;121;288;0;0;3166;0;0;0;0;0;0;0;0;2699;0
70;1410;93;300;0;0;3166;0;0;0;0;0;0;0;0;2699;0
71;1434;81;301;0;0;3166;0;0;0;0;0;0;0;0;2699;0
72;1416;103;283;0;0;3166;0;0;0;0;0;0;0;0;2699;0
73;1426;87;278;1;0;3166;0;0;0;0;0;0;0;0;2699;0
74;1427;82;275;0;0;3166;0;0;0;0;0;0;0;0;2699;0
75;1408;91;326;9;0;3166;0;0;0;0;0;0;0;0;2699;0
76;1429;86;285;0;0;3166;0;0;0;0;0;0;0;0;2699;0
77;1434;80;334;0;0;3166;0;0;0;0;0;0;0;0;2699;0
78;1416;92;266;15;0;3166;0;0;0;0;0;0;0;0;2699;0
79;1433;84;315;0;0;3166;0;0;0;0;0;0;0;0;2699;0
80;1436;98;354;0;0;3166;0;0;0;0;0;0;0;0;2699;0
81;1415;94;314;4;0;3166;0;0;0;0;0;0;0;0;2699;0
82;1443;84;329;0;0;3166;0;0;0;0;0;0;0;0;2699;0
83;1429;110;277;0;0;3166;0;0;0;0;0;0;0;0;2699;0
84;1414;91;283;0;0;3166;0;0;0;0;0;0;0;0;2699;0
85;1443;87;286;0;0;3166;0;0;0;0;0;0;0;0;2699;0
86;1420;101;269;0;0;3166;0;0;0;0;0;0;0;0;2699;0
87;1415;90;324;0;0;3166;0;0;0;0;0;0;0;0;2699;0
88;1443;84;316;0;0;3166;0;0;0;0;0;0;0;0;2699;0
89;1420;104;271;0;0;3166;0;0;0;0;0;0;0;0;2699;0
90;1410;91;323;2;0;3166;0;0;0;0;0;0;0;0;2699;0
91;1437;85;281;0;0;3166;0;0;0;0;0;0;0;0;2699;0
92;1420;100;277;0;0;3166;0;0;0;0;0;0;0;0;2699;0
93;1413;88;325;0;0;3166;0;0;0;0;0;0;0;0;2699;0
94;1429;84;329;0;0;3166;0;0;0;0;0;0;0;0;2699;0
