time;ADC1_Channel_1;ADC1_Channel_2;ADC1_Channel_3;ADC1_Channel_4;ADC1_Channel_5;ADC1_Channel_6;ADC1_Channel_7;ADC1_Channel_8;ADC1_Channel_9;ADC1_Channel_10;ADC1_Channel_11;ADC1_Channel_12;ADC1_Channel_13;ADC1_Channel_14;ADC1_Channel_15;ADC1_Channel_16
81;1391;92;296;0;0;1586;0;0;0;0;0;0;0;0;2699;0
82;1394;99;303;0;0;1586;0;0;0;0;0;0;0;0;2699;0
83;1407;86;258;0;0;1586;0;0;0;0;0;0;0;0;2699;0
84;1393;90;327;0;0;1586;0;0;0;0;0;0;0;0;2699;0
85;1388;91;268;0;0;1586;0;0;0;0;0;0;0;0;2699;0
86;1414;81;309;0;0;1586;0;0;0;0;0;0;0;0;2699;0
87;1405;85;317;0;0;1586;0;0;0;0;0;0;0;0;2699;0
88;1380;92;341;10;0;1586;0;0;0;0;0;0;0;0;2699;0
89;1409;85;280;0;0;1586;0;0;0;0;0;0;0;0;2699;0
90;1413;84;327;0;0;1586;0;0;0;0;0;0;0;0;2699;0
91;1394;98;324;0;0;1586;0;0;0;0;0;0;0;0;2699;0
92;1416;116;356;0;0;1586;0;0;0;0;0;0;0;0;2699;0
93;1414;87;304;0;0;1586;0;0;0;0;0;0;0;0;2699;0
94;1387;96;315;0;0;1586;0;0;0;0;0;0;0;0;2699;0
95;1409;106;277;0;0;1586;0;0;0;0;0;0;0;0;2699;0
96;1419;92;252;0;0;1586;0;0;0;0;0;0;0;0;2699;0
97;1400;93;290;0;0;1586;0;0;0;0;0;0;0;0;2699;0
98;1384;102;304;0;0;1586;0;0;0;0;0;0;0;0;2699;0
99;1410;80;324;0;0;1586;0;0;0;0;0;0;0;0;2699;0
100;1403;89;272;0;0;1586;0;0;0;0;0;0;0;0;2699;0
101;1384;94;336;8;0;1586;0;0;0;0;0;0;0;0;2699;0
102;1413;84;261;0;0;1586;0;0;0;0;0;0;0;0;2699;0
103;1414;91;257;0;0;1586;0;0;0;0;0;0;0;0;2699;0
104;1394;94;313;4;0;1586;0;0;0;0;0;0;0;0;2699;0
105;1412;119;277;0;0;1586;0;0;0;0;0;0;0;0;2699;0
106;1419;89;248;0;0;1586;0;0;0;0;0;0;0;0;2699;0
107;1393;92;280;0;0;1586;0;0;0;0;0;0;0;0;2699;0
108;1396;102;269;0;0;1586;0;0;0;0;0;0;0;0;2699;0
109;1417;87;261;0;0;1586;0;0;0;0;0;0;0;0;2699;0
110;1400;96;268;0;0;1586;0;0;0;0;0;0;0;0;2699;0
111;1400;104;261;0;0;1586;0;0;0;0;0;0;0;0;2699;0
112;1412;85;257;0;0;1586;0;0;0;0;0;0;0;0;2699;0
113;1388;94;282;0;0;1586;0;0;0;0;0;0;0;0;2699;0
114;1385;95;319;4;0;1586;0;0;0;0;0;0;0;0;2699;0
115;1414;80;307;0;0;1586;0;0;0;0;0;0;0;0;2699;0
116;1402;90;324;0;0;1586;0;0;0;0;0;0;0;0;2699;0
117;1387;94;270;0;0;1586;0;0;0;0;0;0;0;0;2699;0
118;1400;82;310;0;0;1586;0;0;0;0;0;0;0;0;2699;0
119;1401;88;291;0;0;1586;0;0;0;0;0;0;0;0;2699;0
120;1383;91;339;3;0;1586;0;0;0;0;0;0;0;0;2699;0
121;1415;76;338;0;0;1586;0;0;0;0;0;0;0;0;2699;0
122;1414;90;272;0;0;1586;0;0;0;0;0;0;0;0;2699;0
123;1385;96;282;0;0;1586;0;0;0;0;0;0;0;0;2699;0
124;1412;100;343;0;0;1586;0;0;0;0;0;0;0;0;2699;0
125;1416;85;243;0;0;1586;0;0;0;0;0;0;0;0;2699;0
126;1397;92;258;3;0;1586;0;0;0;0;0;0;0;0;2699;0
127;1414;126;278;0;0;1586;0;0;0;0;0;0;0;0;2699;0
128;1414;83;256;0;0;1586;0;0;0;0;0;0;0;0;2699;0
129;1394;92;272;0;0;1586;0;0;0;0;0;0;0;0;2699;0
130;1404;101;291;0;0;1586;0;0;0;0;0;0;0;0;2699;0
131;1421;85;318;0;0;1586;0;0;0;0;0;0;0;0;2699;0
132;1397;91;317;0;0;1586;0;0;0;0;0;0;0;0;2699;0
133;1386;94;302;0;0;1586;0;0;0;0;0;0;0;0;2699;0
134;1405;81;306;0;0;1586;0;0;0;0;0;0;0;0;2699;0
135;1402;83;302;0;0;1586;0;0;0;0;0;0;0;0;2699;0
136;1382;92;267;8;0;1586;0;0;0;0;0;0;0;0;2699;0
137;1410;78;267;0;0;1586;0;0;0;0;0;0;0;0;2699;0
138;1409;87;265;0;0;1586;0;0;0;0;0;0;0;0;2699;0
139;1387;90;327;2;0;1586;0;0;0;0;0;0;0;0;2699;0
140;1415;87;326;0;0;1586;0;0;0;0;0;0;0;0;2699;0
141;1417;85;260;0;0;1586;0;0;0;0;0;0;0;0;2699;0
142;1397;90;320;4;0;1586;0;0;0;0;0;0;0;0;2699;0
143;1415;130;298;0;0;1586;0;0;0;0;0;0;0;0;2699;0
144;1414;82;321;0;0;1586;0;0;0;0;0;0;0;0;2699;0
145;1388;90;316;0;0;1586;0;0;0;0;0;0;0;0;2699;0
146;1394;102;269;0;0;1586;0;0;0;0;0;0;0;0;2699;0
147;1415;82;253;0;0;1586;0;0;0;0;0;0;0;0;2699;0
148;1400;86;326;1;0;1586;0;0;0;0;0;0;0;0;2699;0
149;1388;96;301;6;0;1586;0;0;0;0;0;0;0;0;2699;0
150;1412;80;280;0;0;1586;0;0;0;0;0;0;0;0;2699;0
151;1408;88;268;0;0;1586;0;0;0;0;0;0;0;0;2699;0
152;1388;91;322;9;0;1586;0;0;0;0;0;0;0;0;2699;0
153;1412;114;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
154;1411;88;317;0;0;1586;0;0;0;0;0;0;0;0;2699;0
155;1393;89;329;0;0;1586;0;0;0;0;0;0;0;0;2699;0
156;1408;102;274;0;0;1586;0;0;0;0;0;0;0;0;2699;0
157;1421;88;251;0;0;1586;0;0;0;0;0;0;0;0;2699;0
158;1394;88;323;0;0;1586;0;0;0;0;0;0;0;0;2699;0
159;1394;95;306;0;0;1586;0;0;0;0;0;0;0;0;2699;0
160;1414;77;292;0;0;1586;0;0;0;0;0;0;0;0;2699;0
161;1399;84;315;0;0;1586;0;0;0;0;0;0;0;0;2699;0
162;1383;92;267;0;0;1586;0;0;0;0;0;0;0;0;2699;0
163;1410;80;267;0;0;1586;0;0;0;0;0;0;0;0;2699;0
164;1396;89;280;0;0;1586;0;0;0;0;0;0;0;0;2699;0
165;1382;88;332;0;0;1586;0;0;0;0;0;0;0;0;2699;0
166;1407;76;328;0;0;1586;0;0;0;0;0;0;0;0;2699;0
167;1413;86;314;0;0;1586;0;0;0;0;0;0;0;0;2699;0
168;1388;93;293;10;0;1586;0;0;0;0;0;0;0;0;2699;0
169;1410;77;301;0;0;1586;0;0;0;0;0;0;0;0;2699;0
170;1407;89;265;0;0;1586;0;0;0;0;0;0;0;0;2699;0
171;1392;91;334;5;0;1586;0;0;0;0;0;0;0;0;2699;0
172;1414;90;291;0;0;1586;0;0;0;0;0;0;0;0;2699;0
173;1416;84;320;0;0;1586;0;0;0;0;0;0;0;0;2699;0
174;1394;92;317;8;0;1586;0;0;0;0;0;0;0;0;2699;0
175;1408;125;351;0;0;1586;0;0;0;0;0;0;0;0;2699;0
176;1412;85;314;0;0;1586;0;0;0;0;0;0;0;0;2699;0
177;1390;94;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
178;1403;99;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
179;1422;86;261;0;0;1586;0;0;0;0;0;0;0;0;2699;0
180;1393;87;322;0;0;1586;0;0;0;0;0;0;0;0;2699;0
181;1395;102;266;0;0;1586;0;0;0;0;0;0;0;0;2699;0
182;1416;84;264;0;0;1586;0;0;0;0;0;0;0;0;2699;0
183;1397;85;329;0;0;1586;0;0;0;0;0;0;0;0;2699;0
184;1393;99;276;0;0;1586;0;0;0;0;0;0;0;0;2699;0
185;1415;83;267;0;0;1586;0;0;0;0;0;0;0;0;2699;0
186;1397;90;260;0;0;1586;0;0;0;0;0;0;0;0;2699;0
187;1389;91;306;0;0;1586;0;0;0;0;0;0;0;0;2699;0
188;1414;78;253;0;0;1586;0;0;0;0;0;0;0;0;2699;0
189;1399;88;264;0;0;1586;0;0;0;0;0;0;0;0;2699;0
190;1382;85;316;9;0;1586;0;0;0;0;0;0;0;0;2699;0
191;1406;74;330;0;0;1586;0;0;0;0;0;0;0;0;2699;0
192;1407;85;326;0;0;1586;0;0;0;0;0;0;0;0;2699;0
193;1391;94;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
194;1410;81;328;0;0;1586;0;0;0;0;0;0;0;0;2699;0
195;1412;87;313;0;0;1586;0;0;0;0;0;0;0;0;2699;0
196;1384;91;336;7;0;1586;0;0;0;0;0;0;0;0;2699;0
197;1417;92;284;0;0;1586;0;0;0;0;0;0;0;0;2699;0
198;1417;85;296;0;0;1586;0;0;0;0;0;0;0;0;2699;0
199;1391;92;286;8;0;1586;0;0;0;0;0;0;0;0;2699;0
200;1408;100;317;0;0;1586;0;0;0;0;0;0;0;0;2699;0
201;1416;91;246;0;0;1586;0;0;0;0;0;0;0;0;2699;0
202;1391;95;311;0;0;1586;0;0;0;0;0;0;0;0;2699;0
203;1419;120;329;0;0;1586;0;0;0;0;0;0;0;0;2699;0
